

Site ID,Name,Pretty Site Name,Number of Recordings,First Recording,Last Recording,Latitude,Longitude,Altitude,Timezone,Skip Site,Comment for Skip Site,Group,PMJ Male Song,PMJ Male Chorus,PMJ Female Chatter,PMJ Hatchling,PMJ Nestling,PMJ Fledgling,Distance to Colony,Approx Colony Size,Substrate,Site Description,Site Results,Pretty Site Name 2,Breeding Type,Complex Types,p1mcstart,p1mcend,p1incstart,p1hatch,p1fledgestart,p1fledgedisp,p1abandon,p1outcome,p2mcstart,p2mcend,p2incstart,p2hatch,p2fledgestart,p2fledgedisp,p2abandon,p2outcome,p3mcstart,p3mcend,p3incstart,p3hatch,p3fledgestart,p3fledgedisp,p3abandon,p3outcome,p4mcstart,p4mcend,p4incstart,p4hatch,p4fledgestart,p4fledgedisp,p4abandon,p4outcome
24655,2021 Kern 4,2021 Kern 4,7854,4/19/2021,8/10/2021,35.666,-118.307,805,America/Los_Angeles,,,Southern Sierra Research Station,2021 Kern4 MS01,2021 K4 MC01,2021 Kern4 Female Song 03,2021 Kern 4 Hatchling,2021 Kern 4 Nestling,2021 Kern 4 FC06,15,NEED,Stinging nettle,"A patch of stinging nettle (old and new), next to a young copse of skinny Fremont cottonwoods to the north and a pasture in the south. The ARU was placed in a cottonwood at 2.2 m high.","Tricolored Blackbird vocal detections were present in only a small number of recordings, resulting in reduced confidence in the assignment of breeding-stage dates. Dates were estimated using 1) End of Male Chorus as IO, or 2) earliest FBC as FO, or 3) date of last FNC as BO. These three methods for estlimating the breeding date stages were within a day or two of each other, and I chose the center set of dates. This is indicated with a ""~"" in Table 5. Note, the first Begging Call detections, recorded on 22 May, contained low-frequency components (~3 kHz) characteristic of older nestlings, indicating that brooding onset had occurred several days prior to detection. The ARI score for this breeding attempt was 0.05, corresponding to classification as Partially Abandoned.",2021 Kern 4,Simple,,missed,4/30/2021,~5/1/2021,~5/13/2021,~5/27/2021,~6/5/2021,5/7/2021P,Partially Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
26534,2021 Kern 5,2021 Kern 5,7911,4/27/2021,8/17/2021,35.66,-118.312,803,America/Los_Angeles,,,Southern Sierra Research Station,2021 Kern 5 K1MS02,2021 K5 MC01,2021 Kern 5 FS01,2021 Kern 5 Hatchling,2021 Kern 5 Nestling,2021 Kern 5 FC06,0,NEED,Himalayan blackberry,"A Himalayan blackberry patch, 20 m long x 5 m wide, adjacent to a paved highway in a public right of way. There is a water channel and pasture with cows present adjacent to the blackberry patch to the north. The ARU was placed inside the colony, on the east side, at 1 m high. The ARU will record significant road noise at this site.","Female Chatter detections persisted well beyond the onset of brooding, indicating Asynchronous nest initiation. The presence of Fledgling Begging Calls indicate that the breeding attempt was successful. Decreases and then subsequent increases of Nestling Begging Calls hint at an uneven initation of breeding attempts during the course of the season, and there may have been an underlying group of semi-synchronous breeding within the colony.",2021 Kern 5,Asynchronous,,inf,inf,~4/13/2021,~4/25/2021,5/8/2021,6/17/2021,ND,Successful,ND,ND,5/2/2021,5/14/2021,Continuous,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
26535,2021 Kern 6,2021 Kern 6,7880,5/1/2021,8/21/2021,35.3955,-118.449,1150,America/Los_Angeles,,,Southern Sierra Research Station,2021 Kern 6 K1MS02,2021 K6 MC01,2021 Kern 6 FS01,2021 Kern 6 Hatchling,2021 Kern 6 Nestling,2021 Kern 6 FC06,30,No Colony,Cattails,Small pond with dormant cattails. The landowner mentioned raccoon predators in previous years.,,2021 Kern 6,No TRBL,,ND,ND,ND,ND,ND,ND,ND,No TRBL,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
26536,2021 Kern 7,2021 Kern 7,7547,5/17/2021,9/1/2021,35.671,-118.29,809,America/Los_Angeles,,,Southern Sierra Research Station,2021 Kern 7 K5MS02,2021 K7 MC01,2021 Kern 7 FS02,2021 Kern 7 Hatchling,2021 Kern 7 Nestling,2021 Kern 7 FC06,12,NEED,Stinging nettle,Riparian forest composed of old Fremont cottonwood and red willow trees and many young Fremont cottonwood trees (< 3 m tall). The ground is covered mainly by grass (alkali rye) with many patches of dead and new stinging nettle. There are also some areas with mulefat. The colony of Tricolored Blackbird is ~60 m from an irrigation channel and ~100 m from the South Fork Kern River.,"Both automated pattern matching and manual review indicated that Tricolored Blackbird vocal detections ceased by early June, supporting classification of this breeding attempt as Abandoned shortly after the onset of brooding. To improve temporal resolution at this site, three recordings per day were manually reviewed rather than the standard protocol of three recordings every third day. Abandonment was temporally coincident with temperatures exceeding 90°F, which may have contributed to the outcome.",2021 Kern 7,Unknown,,inf,inf,5/19/2021,5/31/2021,ND,ND,6/5/2021,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
26432,2021 Markham Ravine,2021 Markham Ravine,3894,4/30/2021,6/23/2021,38.8897,-121.4653,19,America/Los_Angeles,,,Markham Ravine,2021 Markham Ravine MS 5.0,2021 MR MC01,2021 Markham Ravine FS01,2021 MR Hatchling,2021 MR Nestling,2021 MR FC06,No Colony,No Colony,"Himalayan blackberry, willow","Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was converted to a wetland mitigation site during 2018.",,2021 Markham Ravine,No TRBL,,ND,ND,ND,ND,ND,ND,ND,No TRBL,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24252,2021 Orchard Creek,2021 Orchard Creek,5465,4/19/2021,7/4/2021,38.8467,-121.3061,28,America/Los_Angeles,,,Placer County,2021 OC MS HL05,2021 OC MC01,2021 OC FS01,2021 OC Hatchling,2021 OC Nestling,2021 OC FC06,1.5m,2500,Himalayan blackberry,"Valley-foothill grassland, cattle grazing, perennial stream with Himalayan Blackberry. Small number of oaks, cottonwood, and willow.","Two overlapping but internally synchronous breeding cohorts were detected. The second cohort initiated breeding approximately three weeks after the first, earlier than expected for a Sequential colony structure and before fledglings from the initial cohort had fully dispersed. The temporal overlap and acoustic separation of the two cohorts support classification of this colony as Additions rather than Sequential. Recordings containing Fledgling Begging Calls were detected for both cohorts, and both breeding attempts were therefore classified as Successful. Due to the proximity of the two breeding attempts to each other, the algorithms we used to assign dispersal for the first breeding attempt and fledgling onset for the second breeding attempt could not be used, and the dates were manually assigned. This is indicated with a ""~"" in Table 5.",2021 Orchard Creek,Additions,,inf,inf,4/19/2021,5/1/2021,5/15/2021,5/31/2021,ND,Successful,inf,5/16/2021,5/13/2021,5/25/2021,6/3/2021,6/17/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24233,2021 Panoche Creek Preserve 1W,2021 Panoche Creek Marsh East 1,7507,4/1/2021,7/14/2021,36.5906,-120.769,314,America/Los_Angeles,,2021 Panoche Creek Marsh East 2: These were definitely in the same colony. 1E had much better data,CNLM,2021 PCP1W MS04,2021 PCP W MC01,2021 PCP1W FS01,2021 PCP 1W Hatchling,2021 PCP 1W Nestling,2021 PCP1W FC06,10,3500,Cattails,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath. The colonies in 2021 occurred primarily along the western half of this wetland. A prescribed burn was conducted in this area on February 7th, 2020.","The ARU was deployed during settlement. The ARI score for this breeding attempt was 0.017, corresponding to classification as Partially Abandoned. A small fraction of recordings contained Fledgling Begging Call detections, indicating that young successfully left the nest despite Partial Abandonment. Due to the Partial Abandonment, detections of Fledgling Begging Calls were sparse and did not meet the daily threshold, and the reported dates are approximate. This is indicated with a ""~"" in Table 5.
The site had been labeled Panoche Creek Preserve 1W, but was renamed to align with the name in the UC Davis Tricolored Blackbird Portal.",2021 Panoche Creek Marsh East 1,Simple,,4/5/2021,4/20/2021,4/22/2021,5/4/2021,ND,ND,4/30/2021P,Partially Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24232,2021 Panoche Creek Preserve 2E,2021 Panoche Creek Marsh East 2,7507,4/1/2021,7/14/2021,36.5907,-120.765,307,America/Los_Angeles,,,CNLM,2021 PCP2E MStyp5,2021 PCP 2E MC01,2021 PCP2E Mini PCP2E FS07,2021 PCP 2E Hatchling,2021 PCP 2E Nestling,2021 PCP2E FC06,5,3500,Cattails,"An emergent marsh dominated by narrow-leaf cattail and bulrush, fed by a narrow stream flowing through riparian woodland dominated by phreatophytic plants including Fremont cottonwood and red willow, and herbaceous understory plants such as salt grass and alkali heath. The colonies in 2021 occurred primarily along the western half of this wetland. A prescribed burn was conducted in this area on February 7th, 2020.","The ARU was deployed during settlement. Female Chatter detections persisted for several days after the onset of brooding; however, the temporal pattern of Begging Call detections indicates a single synchronous breeding attempt. No evidence of Partial Abandonment was observed at this site. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. Fledgling Begging Call detections declined rapidly following fledging, consistent with prompt dispersal.
The site was labeled Panoche Creek Preserve 2E, but had been renamed to align with the name in the UC Davis Tricolored Blackbird Portal.",2021 Panoche Creek Marsh East 2,Simple,,inf,4/20/2021,4/20/2021,5/2/2021,5/18/2021,5/22/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
21537,2021 Plumas Arboga,2021 Plumas Arboga,1515,5/14/2021,6/4/2021,39.0296,-121.537,17,America/Los_Angeles,,,Central Sacramento Valley,2021 Plumas Arboga MS01,2021 PA MC01,2021 Plumas Arboga FS01,2021 PA Hatchling,2021 PA Nestling,2021 PA FC06,10m,2000,Cattails with Himalayan blackberry,Large isolated copse of Himalayan blackberry on cattle ranch adjacent to rice paddies.,"The ARU ceased recording shortly before the expected fledging date. Recordings containing Nestling Begging Calls indicate that brooding onset occurred, but the ARU failed before fledging could be confirmed. As a result, neither colony type nor outcome could be determined. Ratios of recordings containing Nestling Begging Calls to those containing Female Chatter indicate that the breeding attempt was Partially Abandoned prior to ARU failure. A period of excessive heat coincided with the timing of Partial Abandonment and is potentially the cause.",2021 Plumas Arboga,Unknown,,inf,5/15/2021,5/15/2021,5/27/2021,ND,ND,ND,Unknown,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24119,2021 Rancho Jamul,2021 Rancho Jamul,4997,3/19/2021,6/5/2021,32.6846,-116.856,234,America/Los_Angeles,,,Rancho Jamul,2021 RJ MS-local,2021 RJ MC01,2021 RJ FS01,2021 RJ Hatchling,2021 RJ Nestling,2021 RJ FC06,NEED,NEED,"Cattails, bulrush or tule",Two ponds surrounded by annual grasslands.,"Signal clarity declined after the ARU was moved from a plastic protective sleeve to a drybox. This was the first deployment using a drybox, and the reduction in recording quality was likely due to incorrect orientation of the unit within the enclosure, resulting in suboptimal alignment of the microphone with the acoustic membrane. Following this change, automated pattern matching failed to detect vocalizations. However, manual review confirmed the presence of Male Song, Female Chatter, and Begging Calls, although detected Begging Calls were likely limited to the louder Fledgling Begging Calls. Because reduced signal quality precluded reliable determination of breeding-stage transitions, no breeding-stage dates were assigned. The extended presence of Female Chatter indicates an Asynchronous colony type. Detection of Fledgling Begging Calls confirms that young successfully left the nest, and the breeding attempt was therefore classified as Successful.",2021 Rancho Jamul,Asynchronous,,ND,ND,ND,ND,ND,ND,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24651,2021 Reeds Creek North,2021 Erle Road-Reeds Creek North,1155,5/4/2021,5/20/2021,39.1079,-121.507,21,America/Los_Angeles,,2021 Erle Road-Reeds Creek South:,Central Sacramento Valley,2021 RCN MS 5.0,2021 RCN MC01,2021 RCN FS01,2021 RC N Hatchling,2021 RC N Nestling,2021 RCN FC06,20m,1000,"Himalayan blackberry, lettuce",This site has an extensive amount of nesting habitat with water and foraging areas.,The ARU was placed at the onset of incubation. A single recording with a Hatchling Begging Call was located through manual analysis. All vocalizations ceased and colony Abandoned.,2021 Erle Road-Reeds Creek North,Unknown,,inf,inf,ND,ND,ND,ND,5/14/2021,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24653,2021 Reeds Creek South,2021 Erle Road-Reeds Creek South,1155,5/4/2021,5/20/2021,39.1049,-121.507,21,America/Los_Angeles,,,Central Sacramento Valley,2021 RCS MS 5.0,2021 RCS MC01,2021 RCS FS01,2021 RC S Hatchling,2021 RC S Nestling,2021 RCS FC06,20m,1500,Himalayan blackberry,Large isolated copse of Himalayan blackberry in open rangeland.,"The ARU was placed at the onset of incubation. Recordings containing Hatchling Begging Calls were detected for several days, but the ARU was removed shortly thereafter for redeployment at a larger colony. The limited duration of the deployment precluded determination of whether nestlings survived to fledging.",2021 Erle Road-Reeds Creek South,Unknown,,inf,5/4/2021,5/6/2021,5/18/2021,ND,ND,ND,Unknown,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24231,2021 Rodeo Grounds 1,2021 Rodeo Grounds,3954,4/19/2021,6/13/2021,38.8627,-121.2879,52,America/Los_Angeles,,,Placer County,2021 RG1 MS03,2021 RG1 MC01,2021 RG1 FS 01,2021 RG1 Hatchling,2021 RG1 Nestling,2021 RG1 FC06,1m,40,Himalayan blackberry,"Multiple Himalayan blackberry patches interspersed with cattails and bulrushes exist along the creek west of the road. Four patches are colony locations, 60-200 yards from parkway, each along the canal. The creek flows just north of a housing development.","The ARU was deployed during the transition between settlement and incubation. The dominant detection pattern was consistent with a Simple synchronous breeding attempt. Sustained Fledgling Begging Call detections were recorded, and the breeding attempt was therefore classified as Successful.",2021 Rodeo Grounds,Simple,,inf,4/23/2021,4/20/2021,5/2/2021,5/11/2021,5/24/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24549,2021 Rush Ranch,2021 Rush Ranch,6857,2/2/2021,5/13/2021,38.208,-122.014,6,America/Los_Angeles,,,Solano County,2021 Rush Ranch MS try1,2021 RR MC01,2021 Rush Ranch FS01,2021 RR Hatchling,2021 RR Nestling,2021 Rush Ranch FC06,2m,No Colony,No Colony,"Approximately 0.9-ha, stream-fed pond containing cattails and bulrushes , together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.","The ARU was placed early in the season. Only scattered recordings containing Male Song and Male Chorus were detected, with no evidence of Female Chatter or dependent-young vocalizations. Acoustic evidence indicates that colony establishment did not occur.",2021 Rush Ranch,No Colony,,ND,ND,ND,ND,ND,ND,ND,No Colony,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
11100,2021 Sedgwick,2021 Sedgwick Reserve Pond,3941,3/6/2021,5/6/2021,34.695,-120.042,343,America/Los_Angeles,,,Sedgwick,2021 SP MS 2.1,2021 Sedgwick MC01,2021 Sedgwick FS01,2021 Sedgwick Hatchling,2021 Sedgwick Nestling,2021 SP FC06,2m,250,Cattails,"Mature oak trees in proximity to the colony with some smaller shrubs less than 10 m away from the colony. Besides scattered trees, most of the surrounding vegetation is open grassland.","A colony established and progressed through incubation and brooding, as indicated by sustained Male Chorus and Female Chatter detections and the appearance of Hatchling and Nestling Begging Calls. However, the ARU ceased recording before the transition from brooding to fledging, and no Fledgling Begging Call detections were found. Because the deployment ended prior to this critical stage, the breeding outcome could not be determined.",2021 Sedgwick Reserve Pond,Unknown,,4/4/2021,4/17/2021,4/16/2021,4/28/2021,ND,ND,ND,Unknown,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
25171,2021 SJWA,2021 San Jacinto Wildlife Area - Bridge Street Pond,2026,6/2/2021,6/30/2021,33.8625,-117.072,434,America/Los_Angeles,,,San Jacinto Wildlife Area,2021 SJWA MS02,2021 SJWA MC01,2021 SJWA FS01,2021 SJWA Hatchling,2021 SJWA Nestling,2021 SJWA FC06,10m,500,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area. To the west is private land with perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields.","The ARU was placed during the transition from settlement to incubation. Breeding progressed to the onset of brooding, and Nestling Begging Call detections were recorded. Approximately eight days after the onset of brooding, Tricolored Blackbird vocal detections ceased, reflected in an ARI score of 0.07. No recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Abandoned. The timing of failure was temporally coincident with an extreme heat event, consistent with abandonment during early brooding.",2021 San Jacinto Wildlife Area - Bridge Street Pond,Unknown,,inf,6/5/2021,6/3/2021,6/15/2021,ND,ND,6/23/2021,Abandoned,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24107,2021 Willey Wetlands 1,2021 Willey Wetlands 1,4915,6/10/2021,8/17/2021,38.7777,-121.5639,6,America/Los_Angeles,Dupe,2021 Willey Wetlands 3:,CNLM,2021 WW1 MS02,2021 WW1 MC01,2021 WW1 FS01,2021 WW1 Hatchling,2021 WW1 Nestling,2021 WW1 FC06,5,100-500,"Bulrush, cattails",See 2021 Willey Wetlands 2.,"This deployment is considered a duplicate dataset of 2021 Willey Wetlands 2. This was the most northerly of the units. The ARU was placed prior to the onset of brooding. This part of the colony had the latest onset of brooding. Detections of Fledgling Begging Calls were infrequent and did not meet the daily threshold and reported dates are approimate. This is indicated with a ""~"" in Table 5.",2021 Willey Wetlands 1,Simple,,inf,inf,6/8/2021,6/20/2021,ND,ND,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24261,2021 Willey Wetlands 2,2021 Willey Wetlands 2,4914,6/10/2021,8/17/2021,38.7751,-121.5639,6,America/Los_Angeles,,,CNLM,2021 WW2 WW3-MS02,2021 WW2 MC01,2021 WW2 FS01,2021 WW2 Hatchling,2021 WW2 Nestling,2021 WW2 FC06,6,100-500,"Bulrush, cattails","A perennial wetland that was created for the benefit of Giant Garter Snakes. The ARU faced west, across a wide channel, towards a colony in thick tules and cattails that is also occupied by a very large White-faced Ibis colony, with the Tricolored Blackbirds diffusely spread throughout the area. The ARU was placed on the southern side of this colony where a more dense concentration of Tricolored Blackbirds were observed.","This deployment represents the core dataset for the Willey Wetlands colony, as it produced the highest number of recordings containing Female Chatter and Nestling Begging Call detections. Three ARUs were deployed across a spatially dispersed colony cohabitating with White-faced Ibis. Although the timing of breeding stages varied slightly among the three deployments, stage transitions were generally consistent. This ARU was centrally located and was deployed shortly before the onset of brooding. No Male Chorus detections were recorded, indicating that chorus activity had likely ceased prior to deployment. Automated pattern matching performed well for the remaining vocalizations despite background noise from the nesting White-faced Ibis. Recordings containing Fledgling Begging Calls were detected for approximately two weeks before dispersal, and the breeding attempt was therefore classified as Successful. Based on estimated brooding onset across all three ARUs, breeding activity appeared to initiate in the southern portion of the site and subsequently spread northward.",2021 Willey Wetlands 2,Simple,,inf,inf,6/2/2021,~6/12/2021,6/28/2021,7/6/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24263,2021 Willey Wetlands 3,2021 Willey Wetlands 3,4523,6/10/2021,8/15/2021,38.7743,-121.5636,6,America/Los_Angeles,Dupe,,CNLM,2021 WW3 MS02,2021 WW3 MC01,2021 WW3 PCP2E FS07,2021 WW3 Hatchling,2021 WW3 Nestling,2021 WW3 FC06,15,100-500,"Bulrush, cattails",See 2021 Willey Wetlands 2.,"This deployment is considered a duplicate dataset of 2021 Willey Wetlands 2. This was the most southerly of the units.
Hatchling Begging Calls were detected on the very first day of deployment, indicating that this part of the colony began breeding earlier than at the other two units.",2021 Willey Wetlands 3,Simple,,inf,inf,inf,inf,6/24/2021,7/9/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
24790,2021 Wind Wolves Preserve,2021 Wind Wolves Preserve,6481,4/14/2021,7/20/2021,34.9574,-119.132,750,America/Los_Angeles,,,Wind Wolves Preserve,2021 WWP WWP-MS01,2021 WWP MC01,2021 WWP FS01,2021 WWP Hatchling,2021 WWP Nestling,2021 WWP FC06,NEED,NEED,Stinging nettle,"Seasonal creek with stinging nettle, cattails and grasses","Female Chatter detections were followed by a coherent temporal progression of Hatchling, Nestling, and Fledgling Begging Call detections. A mid-deployment data gap occurred during which no recordings were collected; however, manual review of recordings immediately preceding this gap confirmed the presence of Hatchling Begging Calls, allowing the date of brooding onset to be estimated. Fledgling Begging Call detections declined abruptly following dispersal, though there are some intermittent calls later in the season suggesting the creche revisited the area after dispersal, and the breeding attempt was therefore classified as Successful and consistent with a single synchronous breeding attempt.",2021 Wind Wolves Preserve,Simple,,4/21/2021,5/3/2021,5/2/2021,5/14/2021,5/28/2021,6/7/2021,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
34485,2022 Baja 1,2022 Baja Ciénega Redonda North,7507,3/23/2022,7/12/2022,32.538,-116.318,972,America/Tijuana,,,Baja,2022 Baja 1 MS Baja 01,2022 Baja 1 MC01,2022 Baja 1 FS01,2022 Baja 1 Hatchling,2022 Baja 1 Nestling,2022 Baja 1 FC06,2m,300-400,Cattails,A relatively small pool largely filled with marsh. The ARU was placed on the south side.,"Two ARUs were deployed at this colony. Analyses from both deployments produced similar results, and the datasets are considered duplicates; this deployment is treated as the core dataset because it produced a greater number of recordings containing Female Chatter and Hatchling Begging Calls. The ARU was deployed during Settlement. Male Chorus detections extended through Incubation, and Female Chatter detections persisted for several days after the onset of Brooding, patterns commonly associated with Asynchronous nesting. The temporal distribution of Begging Call detections was consistent with asynchronous breeding attempt in that Fledgling Begging Calls are heard throughout the period of fist and last expected fledging dates based of timing of Female Chatte, and Asynchronous colony type was therefore assigned. A small number of late-season recordings containing Nestling and Fledgling Begging Calls suggest the possible presence of limited additional asynchronous nesting.

Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful. A sharp decline in Fledgling Begging Call detections beginning on 18 May indicates that most fledglings dispersed at that time; however, intermittent detections continued through 31 May, suggesting that a small number of fledglings likely remained in the area after the primary dispersal event.",2022 Baja Ciénega Redonda North,Asynchronous,,inf,4/29/2022,4/2/2022,~4/12/2022,4/29/2022,5/18/2022,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
53136,2022 Baja 2,2022 Baja Ciénega Redonda North 2,8238,3/23/2022,7/17/2022,32.538,-116.318,972,America/Tijuana,Dupe,2022 Baja Ciénega Redonda North: Had less detections than Baja 1. Keep Baja 1.,Baja,2022 Baja 2 MS01,2022 Baja 2 MC01,2022 Baja 2 FS01,2022 Baja 2 Hatchling,2022 Baja 2 Nestling,2022 Baja 2 FC06,2m,300-400,Cattails,See 2022 Baja 1.,This dataset is considered a duplicate of the 2022 Baja Rancho Ciénaga Redonda North.,2022 Baja Ciénega Redonda North 2,Asynchronous,,inf,5/2/2022,4/3/2022,~4/13/2022,4/30/2022,5/18/2022,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
34044,2022 Colusa NWR T27.1,2022 Colusa NWR T27-1&2,7178,4/18/2022,8/4/2022,39.1409,-122.0285,14,America/Los_Angeles,,,Sacramento National Wildlife Refuge Complex,2022 CNWR T27.1 MS,2022 CNWR T27.1 MC01,2022 CNWR T27.1 FS01,2022 CNWR T27.1 Hatchling,2022 CNWR T27.1 Nestling,2022 CNWR T27.1 FC06,No Colony,No Colony,"Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.","No Tricolored Blackbird vocal detections were recorded using automated pattern matching. Manual review confirmed the absence of vocal detections, indicating that breeding activity was not established at this site.",2022 Colusa NWR T27-1&2,No TRBL,,ND,ND,ND,ND,ND,ND,ND,No TRBL,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
34079,2022 Colusa NWR T27.2,2022 Colusa NWR T27-2S,7736,4/18/2022,8/4/2022,39.1374,-122.026,14,America/Los_Angeles,,,Sacramento National Wildlife Refuge Complex,2022 CNWR T27.2 MS,2022 CNWR T27.2 MC01,2022 CNWR T27.2 FS02,2022 CNWR T27.2 Hatchling,2022 CNWR T27.2 Nestling,2022 CNWR T27.2 FC06,20m,3000,"Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.","Automated pattern matching detected a limited number of vocalizations, and Male Chorus was not detected. Manual review confirmed these results. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.  Detections of Fledgling Begging Calls were infrequent and did not meet the daily threshold and reported dates are approimate. This is indicated with a ""~"" in Table 5.",2022 Colusa NWR T27-2S,Simple,,missed,missed,5/19/2022,5/31/2022,6/13/2022,6/20/2022,ND,Successful,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
