Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Insect 30 Calls Present,Ratio Insect 30,Total Insect 31 Calls Present,Ratio Insect 31,Total Insect 32 Calls Present,Ratio Insect 32,Total Insect 33 Calls Present,Ratio Insect 33,Total Recordings All Types,Total Insect Calls Present All Types,Ratio All Types
2020 Fort Ord,2020 Fort Ord p1,Hatch,2020-04-24,2020-05-05,2020-04-24,444,0,0.0,0,0.0,4,0.009,0,0.0,444,4,0.009
2023 Colusa NWR T27.2,2023 Colusa NWR T27.2 p1,Hatch,2023-06-20,2023-07-01,2023-06-20,864,10,0.0116,0,0.0,0,0.0,0,0.0,864,10,0.0116
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p1,Hatch,2024-05-05,2024-05-16,2024-05-05,864,0,0.0,1,0.0012,38,0.044,0,0.0,864,38,0.044
2024 Los Vaqueros Reservoir,2024 Los Vaqueros Reservoir p2,Hatch,2024-06-10,2024-06-21,2024-06-10,843,37,0.0439,1,0.0012,18,0.0214,5,0.0059,843,55,0.0652
2024 Ohlone - Santa Lucia Preserve,2024 Ohlone - Santa Lucia Preserve p1,Hatch,2024-05-02,2024-05-13,2024-05-02,864,0,0.0,0,0.0,2,0.0023,2,0.0023,864,4,0.0046
2024 Markham Ravine 1,2024 Markham Ravine 1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 OR Eureka Lane,2024 OR Eureka Lane p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Moore Lake - confirm lat lon,2024 Moore Lake - confirm lat lon p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 SJWA Thistle NW of Bridge Street Pond,2024 SJWA Thistle NW of Bridge Street Pond p1,Fledge,2024-06-02,2024-06-13,2024-06-05,621,1,0.0016,17,0.0274,29,0.0467,1,0.0016,621,36,0.058
2024 Merced NWR - Cottonwood Trail,2024 Merced NWR - Cottonwood Trail p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area p1,Hatch,2024-05-31,2024-06-11,2024-05-31,864,1,0.0012,9,0.0104,108,0.125,2,0.0023,864,112,0.1296
2024 WA Harder Spring,2024 WA Harder Spring p1,Hatch,2024-07-18,2024-07-29,2024-07-18,864,2,0.0023,1,0.0012,25,0.0289,0,0.0,864,27,0.0312
2024 WA McCain Pond,2024 WA McCain Pond p1,Hatch,2024-05-10,2024-05-21,2024-05-10,864,0,0.0,0,0.0,3,0.0035,0,0.0,864,3,0.0035
2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 p2,Hatch,2024-05-26,2024-06-06,2024-05-26,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2024 Sedgwick,2024 Sedgwick p1,Hatch,2024-04-20,2024-05-01,2024-04-20,864,0,0.0,32,0.037,141,0.1632,68,0.0787,864,185,0.2141
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p1,Fledge,2024-04-22,2024-05-03,2024-05-02,116,2,0.0172,0,0.0,0,0.0,0,0.0,116,2,0.0172
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p2,Hatch,2024-05-24,2024-06-04,2024-05-24,864,0,0.0,0,0.0,29,0.0336,0,0.0,864,29,0.0336
2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda p3,Hatch,2024-06-21,2024-07-02,2024-06-21,864,16,0.0185,0,0.0,2,0.0023,14,0.0162,864,32,0.037
2024 Baja Rancho Cinega Redonda 1,2024 Baja Rancho Cinega Redonda 1 p1,Fledge,2024-04-25,2024-05-06,2024-04-25,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2024 Baja Rancho Cinega Redonda 1,2024 Baja Rancho Cinega Redonda 1 p2,Hatch,2024-05-25,2024-06-05,2024-05-25,864,0,0.0,0,0.0,0,0.0,1,0.0012,864,1,0.0012
2024 Baja Rancho Cinega Redonda 1,2024 Baja Rancho Cinega Redonda 1 p3,Hatch,2024-06-18,2024-06-29,2024-06-18,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Rancho Cinega Redonda 2 p1,Hatch,2024-04-29,2024-05-10,2024-04-29,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2024 Baja Rancho Cinega Redonda 2,2024 Baja Rancho Cinega Redonda 2 p2,Hatch,2024-06-04,2024-06-15,2024-06-04,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2024 Colusa NWR T27.1,2024 Colusa NWR T27.1 p1,Hatch,2024-06-11,2024-06-22,2024-06-11,864,10,0.0116,0,0.0,0,0.0,0,0.0,864,10,0.0116
2024 Colusa NWR T27.2,2024 Colusa NWR T27.2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Kern 1 - check lat lon,2024 Kern 1 - check lat lon p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Panoche Creek Preserve - Dollar Marsh East,2024 Panoche Creek Preserve - Dollar Marsh East p1,Hatch,2024-04-29,2024-05-10,2024-04-29,864,0,0.0,35,0.0405,88,0.1019,48,0.0556,864,129,0.1493
2024 Wind Wolves Preserve - Tevis fix lat lon,2024 Wind Wolves Preserve - Tevis fix lat lon p1,Fledge,2024-05-06,2024-05-17,2024-05-06,864,0,0.0,0,0.0,4,0.0046,0,0.0,864,4,0.0046
2024 Wind Wolves Preserve - Los Lobos fix lat lon,2024 Wind Wolves Preserve - Los Lobos fix lat lon p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 Wind Wolves Preserve - Pleitito,2024 Wind Wolves Preserve - Pleitito p1,Fledge,2024-04-19,2024-04-30,2024-04-26,332,0,0.0,0,0.0,0,0.0,0,0.0,332,0,0.0
2024 Wind Wolves Preserve - Pleitito,2024 Wind Wolves Preserve - Pleitito p2,Hatch,2024-05-25,2024-06-05,2024-05-25,864,0,0.0,0,0.0,1,0.0012,0,0.0,864,1,0.0012
2024 Wind Wolves Preserve - Santiago,2024 Wind Wolves Preserve - Santiago p1,Fledge,2024-04-23,2024-05-04,2024-04-30,322,0,0.0,0,0.0,0,0.0,0,0.0,322,0,0.0
2024 Newberry Springs,2024 Newberry Springs p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2024 North Regional Pond,2024 North Regional Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2018 SJWA WSS,2018 SJWA WSS p1,Hatch,2018-04-24,2018-05-05,2018-04-24,530,97,0.183,33,0.0623,22,0.0415,11,0.0208,530,137,0.2585
