site,old_site,breeding_type,outcome,hatch_date,abandon_date,partial_abandon_date,substrate,approx_colony_size,distance_to_colony,first_recording,last_recording
2023 Virginia at Ostrom,2023 Virginia at Ostrom,No Colony,No Colony,ND,ND,ND,"Himalayan blackberry, cattails",No Colony,No Colony,2023-04-18,2023-06-14
2023 Washington State - Harder Spring P1,2023 WA Harder Spring P1,Sequential,Successful,missed,ND,ND,"Bulrush, cattails, common reed",165,20,2023-04-10,2023-08-09
2023 Washington State - Harder Spring P2,2023 WA Harder Spring P2,Sequential,Successful,missed,ND,ND,"Bulrush, cattails, common reed",165,20,2023-04-10,2023-08-09
2023 Washington State - McCain Wetlands P1,2023 WA McCain Wetlands P1,Simple,Partially Abandoned,~2023-05-10,ND,2023-05-21,"Cattails, common reed",200,5,2023-04-10,2023-08-07
2023 Laguna Frye Confluence 1 P1,2023 Weagell Property 1 P1,Complex,Successful,2023-05-03,ND,ND,"Himalayan blackberry, cattails",17500,20,2023-04-19,2023-06-18
2023 Laguna Frye Confluence 1 P2,2023 Weagell Property 1 P2,Complex,Successful,2023-05-24,ND,ND,"Himalayan blackberry, cattails",17500,20,2023-04-19,2023-06-18
2023 Laguna Frye Confluence 1 P3,2023 Weagell Property 1 P3,Complex,Successful,~2023-06-08,ND,ND,"Himalayan blackberry, cattails",17500,20,2023-04-19,2023-06-18
2023 Laguna Frye Confluence 2 P1,2023 Weagell Property 2 P1,Sequential,Successful,~2023-05-17,ND,ND,"Himalayan blackberry, cattails",17500,20,2023-04-25,2023-06-18
2023 Laguna Frye Confluence 2 P2,2023 Weagell Property 2 P2,Sequential,Unknown,ND,ND,ND,"Himalayan blackberry, cattails",17500,20,2023-04-25,2023-06-18
2023 San Jacinto Wildlife Area West of Davis Road P1,2023 West of Davis P1,Sequential,Successful,inf,ND,ND,Cattails,1000,30,2023-05-06,2023-06-29
2023 San Jacinto Wildlife Area West of Davis Road P2,2023 West of Davis P2,Sequential,Successful,~2023-05-20,ND,ND,Cattails,1000,30,2023-05-06,2023-06-29
2023 Wind Wolves Preserve - Los Lobos P1,2023 Wind Wolves Preserve site 1 P1,Asynchronous,Successful,~2023-05-03,ND,ND,Stinging nettle,100,2,2023-04-07,2023-07-25
2023 Wind Wolves Preserve - Santiago Wetlands P1,2023 Wind Wolves Preserve Site 2 P1,Asynchronous,Successful,~2023-04-29,ND,ND,"Cattails, Stinging nettle",300,30,2023-04-07,2023-07-25
2024 Baja Lago Mesa Redonda P1,2024 Baja Lago Mesa Redonda P1,Asynchronous,Successful,inf,ND,ND,Cattails,150,5,2024-05-02,2024-08-04
2024 Baja Lago Mesa Redonda P2,2024 Baja Lago Mesa Redonda P2,Asynchronous,Successful,2024-05-22,ND,ND,Cattails,150,5,2024-05-02,2024-08-04
2024 Baja Ciénega Redonda North P1,2024 Baja Rancho Cinega Redonda 1 P1,Complex,Successful,inf,ND,ND,Cattails,350,2,2024-04-23,2024-08-19
2024 Baja Ciénega Redonda North P2,2024 Baja Rancho Cinega Redonda 1 P2,Complex,Successful,~2024-05-23,ND,ND,Cattails,350,2,2024-04-23,2024-08-19
2024 Baja Ciénega Redonda South P1,2024 Baja Rancho Cinega Redonda 2 P1,Sequential,Successful,2024-04-29,ND,ND,Cattails,100,3,2024-04-23,2024-08-01
2024 Baja Ciénega Redonda South P2,2024 Baja Rancho Cinega Redonda 2 P2,Sequential,Successful,2024-06-04,ND,ND,Cattails,100,3,2024-04-23,2024-08-01
2024 Colusa NWR T27-1&2 P1,2024 Colusa NWR T27.1 P1,Simple,Partially Abandoned,2024-06-13,ND,2024-06-19,"Bulrush, cattails",17500,100,2024-04-24,2024-09-03
2024 Colusa NWR T27-2S,2024 Colusa NWR T27.2,No Colony,No Colony,ND,ND,ND,"Bulrush, cattails",No Colony,5,2024-04-24,2024-08-04
2024 Dagnino Pond P1,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,Simple,Successful,2024-05-31,ND,ND,"Bulrush, cattails, Mustard",400,30,2024-05-21,2024-08-15
2024 Kern 1,2024 Kern 1 - check lat lon,No Colony,No Colony,ND,ND,ND,NEED,NEED,NEED,2024-04-08,2024-08-12
2024 Los Vaqueros Playa P1,2024 Los Vaqueros Reservoir P1,Sequential,Partially Abandoned,~2024-05-03,ND,2024-04-26,Himalayan blackberry,500,0,2024-03-15,2024-06-24
2024 Los Vaqueros Playa P2,2024 Los Vaqueros Reservoir P2,Sequential,Successful,2024-06-09,ND,ND,Himalayan blackberry,500,0,2024-03-15,2024-06-24
2024 Markham Ravine 1,2024 Markham Ravine 1,No TRBL,No TRBL,ND,ND,ND,"Himalayan blackberry, willow",No Colony,No Colony,2024-05-07,2024-05-24
2024 Markham Ravine 2,2024 Markham Ravine 2,No TRBL,No TRBL,ND,ND,ND,"Himalayan blackberry, willow",No Colony,No Colony,2024-05-07,2024-05-24
2024 Markham Ravine 3,2024 Markham Ravine 3,No TRBL,No TRBL,ND,ND,ND,"Himalayan blackberry, willow",No Colony,No Colony,2024-05-07,2024-05-24
2024 Merced NWR - Duck Slough Farmfield P1,2024 Merced NWR - Cottonwood Trail P1,Unknown,Successful,missed,ND,ND,"Milk thistle, mustard",5000,15,2024-04-25,2024-07-12
2024 Moore's Lake P1,2024 Moore Lake - confirm lat lon P1,No TRBL,No TRBL,ND,ND,ND,Cattails,No Colony,No Colony,2024-04-10,2024-07-01
2024 Newberry Springs  - Croydon Avenue P1,2024 Newberry Springs P1,Unknown,Successful,inf,ND,ND,"Cattails, willows",150,35,2024-05-27,2024-06-02
2024 North Regional Pond,2024 North Regional Pond,No Colony,No Colony,ND,ND,ND,"Mustard, milk thistle",6000,20,2024-04-16,2024-06-02
2024 Santa Lucia Preserve - Ohlone Pond P1,2024 Ohlone - Santa Lucia Preserve P1,Complex,Successful,2024-05-02,ND,ND,Bulrush (Schoenoplectus spp.),250,3,2024-04-10,2024-07-01
2024 Santa Lucia Preserve - Ohlone Pond P2,2024 Ohlone - Santa Lucia Preserve P2,Complex,Successful,2024-05-24,ND,ND,Bulrush (Schoenoplectus spp.),250,3,2024-04-10,2024-07-01
2024 Santa Lucia Preserve - Ohlone Pond P3,2024 Ohlone - Santa Lucia Preserve P3,Complex,Successful,2024-06-17,ND,ND,Bulrush (Schoenoplectus spp.),250,3,2024-04-10,2024-07-01
2024 Oregon State -  Metolius Eureka Lane,2024 OR Eureka Lane,No TRBL,No TRBL,ND,ND,ND,"Cattails, Himalayan blackberry",87,10,2024-05-04,2024-07-14
2024 Panoche Creek Marsh East P1,2024 Panoche Creek Preserve - Dollar Marsh East P1,Simple,Successful,2024-04-29,ND,ND,"Cattails, bulrush",1250,10,2024-04-15,2024-08-01
2024 Panoche Creek Marsh East P2,2024 Panoche Creek Preserve - Dollar Marsh East P2,Simple,Unknown,~2024-06-08,ND,ND,"Cattails, bulrush",1250,10,2024-04-15,2024-08-01
2024 Panoche Creek Marsh South P1,2024 Panoche Creek Preserve - Dollar Marsh South P1,Simple,Successful,2024-05-01,ND,ND,"Cattails, bulrush",300,NEED,2024-04-16,2024-08-01
2024 Panoche Creek Marsh West P1,2024 Panoche Creek Preserve - Dollar Marsh West P1,Simple,Successful,2024-05-05,ND,ND,"Cattails, bulrush",300,20,2024-04-15,2024-08-01
2024 Rancho Jamul - Main Pond 1 P1,2024 Rancho Jamul - Main Pond 1 P1,Complex,Unknown,2024-04-25(E),ND,ND,NEED,NEED,NEED,2024-03-26,2024-08-07
2024 Rancho Jamul - Main Pond 1 P2,2024 Rancho Jamul - Main Pond 1 P2,Complex,Successful,2024-05-28(E),ND,ND,NEED,NEED,NEED,2024-03-26,2024-08-07
2024 Rancho Jamul - Main Pond 2 P1,2024 Rancho Jamul - Main Pond 2 P1,Complex,Successful,2024-04-25(E),ND,ND,NEED,NEED,NEED,2024-03-26,2024-07-06
2024 Rancho Jamul - Main Pond 2 P2,2024 Rancho Jamul - Main Pond 2 P2,Complex,Successful,~2024-05-24,ND,ND,NEED,NEED,NEED,2024-03-26,2024-07-06
2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,No Colony,No Colony,ND,ND,ND,NEED,NEED,NEED,2024-03-27,2024-06-22
2024 Sedgwick Reserve Pond P1,2024 Sedgwick P1,Asynchronous,Successful,~2024-04-18,ND,ND,Cattails,300,2,2024-04-04,2024-08-04
2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond P1,2024 SJWA Thistle NW of Bridge Street Pond P1,Simple,Successful,inf,ND,ND,Milk thistle,100,30,2024-06-05,2024-06-22
2024 Washington State - Harder Spring P1,2024 WA Harder Spring P1,Sequential,Successful,2024-06-07,ND,ND,"Bulrush, cattails, common reed",100,20,2024-03-25,2024-08-03
2024 Washington State - Harder Spring P2,2024 WA Harder Spring P2,Sequential,Successful,~2024-07-16,ND,ND,"Bulrush, cattails, common reed",100,20,2024-03-25,2024-08-03
2024 Washington State - McCain Wetlands P1,2024 WA McCain Pond P1,Simple,Partially Abandoned,~2024-05-02,ND,2024-05-15,"Cattails, common reed",600,5,2024-03-29,2024-08-09
2024 Wind Wolves Preserve - Los Lobos P1,2024 Wind Wolves Preserve - Los Lobos P1,Complex,Successful,inf,ND,ND,Stinging nettle,100,2,2024-04-30,2024-09-11
2024 Wind Wolves Preserve - Los Lobos P2,2024 Wind Wolves Preserve - Los Lobos P2,Complex,Successful,~2024-05-21(E),ND,ND,Stinging nettle,100,2,2024-04-30,2024-09-11
2024 Wind Wolves Preserve - Pleitito Creek P1,2024 Wind Wolves Preserve - Pleitito P1,Complex,Successful,2024-04-16(E),ND,ND,Stinging nettle,35,2,2024-04-26,2024-08-11
2024 Wind Wolves Preserve - Pleitito Creek P2,2024 Wind Wolves Preserve - Pleitito P2,Complex,Successful,2024-05-25,ND,ND,Stinging nettle,35,2,2024-04-26,2024-08-11
2024 Wind Wolves Preserve - Santiago Wetlands P1,2024 Wind Wolves Preserve - Santiago P1,Asynchronous,Successful,inf,ND,ND,"Cattails, Stinging nettle",275,40,2024-04-30,2024-08-31
2024 Wind Wolves Preserve - Tevis P1,2024 Wind Wolves Preserve - Tevis P1,Simple,Successful,2024-05-03,ND,ND,Stinging nettle,7,4,2024-04-30,2024-09-24
