id,site,base_site_name,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date,first_recording,last_recording,distance_to_colony,approx_colony_size,altitude,latitude,longitude,substrate
34131,2022 Private Site 1 - approximate lat lon P1,2022 Private Site 1 - approximate lat lon,2022 Private Site 1 - not real lat lon P1,P1,Asynchronous,Successful,inf,~2022-04-16,~2022-04-28,2022-05-08,2022-05-28,ND,ND,2022-04-19,2022-06-03,5,35000,92,37,-120,Triticale
34133,2022 Private Site 2 - approximate lat lon P1,2022 Private Site 2 - approximate lat lon,2022 Private Site 2 - not real lat lon P1,P1,Asynchronous,Successful,inf,inf,inf,2022-04-25,ND,ND,ND,2022-04-19,2022-05-02,ND,15000,92,37,-120,Triticale
34132,2022 Private Site 3 - approximate lat lon P1,2022 Private Site 3 - approximate lat lon,2022 Private Site 3 - not real lat lon P1,P1,Asynchronous,Successful,inf,inf,inf,2022-05-09,2022-05-26,ND,ND,2022-04-19,2022-06-03,ND,ND,92,37,-120,Milk thistle
34045,2022 Rancho Jamul P1,2022 Rancho Jamul,2022 Rancho Jamul P1,P1,Asynchronous,Successful,2022-03-20,2022-04-02,2022-04-14,2022-04-27,ND,ND,ND,2022-03-02,2022-07-02,NEED,NEED,236,,,NEED
33985,2022 Sedgwick Reserve Pond P1,2022 Sedgwick Reserve Pond,2022 Sedgwick P1,P1,Sequential,Successful,inf,2022-03-29,2022-04-10,2022-04-26,2022-05-07,ND,ND,2022-03-20,2022-07-12,2,200,343,34.695,-120.042,Cattails
33985,2022 Sedgwick Reserve Pond P2,2022 Sedgwick Reserve Pond,2022 Sedgwick P2,P2,Sequential,Successful,2022-05-01,2022-05-09,2022-05-21,2022-06-03,2022-06-12,ND,ND,2022-03-20,2022-07-12,2,200,343,34.695,-120.042,Cattails
34046,2022 San Jacinto Wildlife Area - Bridge Street Pond P1,2022 San Jacinto Wildlife Area - Bridge Street Pond,2022 SJWA P1,P1,Asynchronous,Successful,inf,~2022-05-15,~2022-05-27,~2022-06-11,ND,ND,ND,2022-05-10,2022-06-27,10,800,435,33.8627,-117.073,Cattails
33984,2022 Washington State - Harder Spring P1,2022 Washington State - Harder Spring,2022 WA Harder Spring P1,P1,Additions,Successful,2022-04-27,~2022-05-05,~2022-05-17,2022-05-30,2022-06-12,ND,ND,2022-03-18,2022-07-13,20,200,276,46.6572,-118.499,"Bulrush, cattails, common reed"
33984,2022 Washington State - Harder Spring P2,2022 Washington State - Harder Spring,2022 WA Harder Spring P2,P2,Additions,Successful,2022-05-18,2022-05-26,2022-06-07,2022-06-15,2022-06-22,ND,ND,2022-03-18,2022-07-13,20,200,276,46.6572,-118.499,"Bulrush, cattails, common reed"
33845,2022 Washington State - McCain Wetands P1,2022 Washington State - McCain Wetands,2022 WA1 P1,P1,Unknown,Successful,inf,inf,inf,inf,2022-06-01,ND,ND,2022-05-27,2022-08-01,10,175,283,46.8521,-119.183,"Bulrush, cattails, common reed"
34088,2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve - Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2022-03-11,2022-05-26,No Colony,No Colony,801,34.9536,-119.1407,Stinging nettle
34087,2022 Wind Wolves Preserve - Santiago Wetlands P1,2022 Wind Wolves Preserve - Santiago Wetlands,2022 Wind Wolves Preserve Santiago Wetlands P1,P1,Asynchronous,Successful,2022-03-07,~2022-04-09,~2022-04-21,2022-05-03,2022-06-03,ND,ND,2022-02-23,2022-08-17,40,75,740,34.9391,-119.2964,Stinging nettle
48395,2023 Baja Ciénega Redonda North P1,2023 Baja Ciénega Redonda North,2023 Baja Rancho Cinega P1,P1,Unknown,Successful,inf,missed,missed,~2023-04-28,~2023-07-28,ND,ND,2023-04-14,2023-08-22,2,150,972,32.538,-116.318,Cattails
48438,2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 San Jacinto Wildlife Area - Bridge St. Pond,2023 Bridge St Pond,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-04-18,2023-05-06,No Colony,No Colony,434,33.8627,-117.073,"Bulrush, cattails"
48455,2023 Colusa NWR T27-1&2 P1,2023 Colusa NWR T27-1&2,2023 Colusa NWR T27.1 P1,P1,Simple,Partially Abandoned,2023-06-26,2023-07-04,2023-07-16,2023-07-27,2023-07-30,ND,2023-07-24,2023-06-01,2023-08-01,10,2000,13,39.141,-122.028,"Bulrush, cattails"
58629,2023 Colusa NWR T27-2S P1,2023 Colusa NWR T27-2S,2023 Colusa NWR T27.2 P1,P1,Simple,Successful,inf,2023-06-08,2023-06-20,2023-06-29,2023-07-20,ND,ND,2023-06-01,2023-08-01,5,23000,14,39.1375,-122.028,"Bulrush, cattails"
48473,2023 Conaway Ranch Headquarters P1,2023 Conaway Ranch Headquarters,2023 Conaway Ranch - HQ P1,P1,Simple,Successful,2023-05-26,2023-06-01,2023-06-13,2023-06-23,2023-06-30,ND,ND,2023-05-24,2023-07-05,30,5000,8,38.6478,-121.668,Himalayan blackberry
48474,2023 Conaway Ranch NE P1,2023 Conaway Ranch NE,2023 Conaway Ranch NE P1,P1,Simple,Successful,inf,2023-05-30,2023-06-11,2023-06-25,2023-06-30,ND,ND,2023-05-26,2023-07-11,3,9000,8,38.6535,-121.67,Himalayan blackberry
48477,2023 Conaway Ranch North 1 P1,2023 Conaway Ranch North 1,2023 Conaway Ranch North 1 P1,P1,Simple,Successful,inf,2023-06-06,2023-06-18,2023-06-27,ND,ND,ND,2023-06-08,2023-07-13,5,10000,9,38.6512,-121.687,"Himalayan blackberry, cattails"
48476,2023 Conaway Ranch North 2 P1,2023 Conaway Ranch North 2,2023 Conaway Ranch North 2 P1,P1,Simple,Successful,inf,2023-06-16,2023-06-28,2023-07-07,2023-07-23,ND,ND,2023-06-13,2023-07-27,5,10000,9,38.6546,-121.685,"Himalayan blackberry, cattails"
48462,2023 Denverton Creek P1,2023 Denverton Creek,2023 Creed Rd P1,P1,Simple,Abandoned,2023-04-26,2023-05-09,2023-05-21(E),ND,ND,2023-05-10,ND,2023-03-12,2023-08-07,125,1000,12,38.241,-121.888,Himalayan blackberry
48454,2023 Delevan NWR T43-1,2023 Delevan NWR T43-1,2023 Delevan NWR T43.1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-05-16,2023-07-18,No Colony,No Colony,18,39.2787,-122.104,"Bulrush, cattails, Himalayan blackberry"
48877,2023 Delevan NWR T43-2,2023 Delevan NWR T43-2,2023 Delevan NWR T43.2,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-05-16,2023-09-16,No Colony,No Colony,18,39.2785,-122.098,"Bulrush, cattails, Himalayan blackberry"
48472,2023 Delevan NWR T6,2023 Delevan NWR T6,2023 Delevan T6,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-05-30,2023-07-25,No Colony,No Colony,20,39.3267,-122.115,Bulrush
48463,2023 Hale Road P1,2023 Hale Road,2023 Hale Road P1,P1,Sequential,Successful,2023-05-20,2023-05-25,2023-06-06,2023-06-20,2023-07-06,ND,ND,2023-04-18,2023-07-08,2,10000,19,39.0835,-121.512,"Himalayan blackberry, cattails"
48463,2023 Hale Road P2,2023 Hale Road,2023 Hale Road P2,P2,Sequential,Unknown,2023-06-26,2023-07-04,ND,ND,ND,ND,ND,2023-04-18,2023-07-08,2,10000,19,39.0835,-121.512,"Himalayan blackberry, cattails"
48468,2023 Hale Road Site 2 P1,2023 Hale Road Site 2,2023 Hale Road Site 2 P1,P1,Simple,Successful,2023-05-20,2023-05-25,2023-06-06,2023-06-19,2023-07-05,ND,ND,2023-04-11,2023-07-08,2,10000,19,39.0834,-121.512,"Himalayan blackberry, cattails"
48457,2023 Iron Point P1,2023 Iron Point,2023 Iron Point P1,P1,Simple,Partially Abandoned,inf,inf,inf,ND,ND,ND,2023-05-13,2023-05-09,2023-08-22,15,600,172,38.647,-121.104,Himalayan blackberry
48434,2023 Kentucky Lateral P1,2023 Kentucky Lateral,2023 Kentucky Lateral P1,P1,Asynchronous,Successful,inf,2023-04-14,2023-04-26,2023-05-12,ND,ND,ND,2023-04-15,2023-05-22,10,500,9,38.6717,-121.71,Bull thistle
48467,2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,2023 Kern - Canebreak Ecological Reserve 4,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-05-25,2023-08-11,0,No Colony,875,35.7315,-118.166,Stinging nettle
48470,2023 Kern - Headquarters 2 P1,2023 Kern - Headquarters 2,2023 Kern - HQ2 P1,P1,Sequential,Successful,2023-05-20,2023-05-27,2023-06-08,2023-06-20,2023-07-03,ND,ND,2023-05-03,2023-08-11,3,100,804,35.6669,-118.308,Sandbar Willow
48470,2023 Kern - Headquarters 2 P2,2023 Kern - Headquarters 2,2023 Kern - HQ2 P2,P2,Sequential,Successful,2023-06-23,2023-06-23,2023-07-05,2023-07-19,2023-08-07,ND,ND,2023-05-03,2023-08-11,3,100,804,35.6669,-118.308,Sandbar Willow
48459,2023 45 Sump P1,2023 45 Sump,2023 Laguna Fry Confluence - 45 Sump P1,P1,Simple,Successful,inf,2023-04-29,2023-05-11,2023-05-21,2023-05-30,ND,ND,2023-04-25,2023-06-18,15,5500,29,38.4731,-121.276,Himalayan blackberry
48465,2023 Laguna Frye Confluence 3 P1,2023 Laguna Frye Confluence 3,2023 Laguna Fry Confluence - Site 1 P1,P1,Simple,Successful,inf,2023-05-05,2023-05-17,2023-05-26,2023-06-01,ND,ND,2023-05-09,2023-06-18,5,17500,29,38.4863,-121.279,"Himalayan blackberry, cattails, tule"
48428,2023 Los Vaqueros - Walnut Trail Marsh P1,2023 Los Vaqueros - Walnut Trail Marsh,2023 Los Vaqueros - Walnut Trail Marsh P1,P1,Simple,Abandoned,inf,2023-04-14,2023-04-26,ND,ND,2023-04-30,ND,2023-04-07,2023-07-07,15,500,53,37.8594,-121.699,"Bulrush, cattails"
48444,2023 Los Vaqueros Playa P1,2023 Los Vaqueros Playa,2023 Los Vaqueros Reservoir P1,P1,Complex,Successful,inf,2023-04-16,2023-04-28,2023-05-06,2023-06-14,ND,ND,2023-03-24,2023-07-31,0,2000,82,37.8377,-121.696,Himalayan blackberry
48444,2023 Los Vaqueros Playa P2,2023 Los Vaqueros Playa,2023 Los Vaqueros Reservoir P2,P2,Complex,Successful,2023-05-31,2023-06-03,2023-06-15,2023-06-26,2023-07-17,ND,ND,2023-03-24,2023-07-31,0,2000,82,37.8377,-121.696,Himalayan blackberry
48436,2023 Markham Ravine P1,2023 Markham Ravine,2023 Markham Ravine P1,P1,Simple,Partially Abandoned,inf,2023-05-19,2023-05-31,2023-06-16,2023-06-30,ND,2023-05-23,2023-05-15,2023-07-17,9,3500,18,38.8896,-121.466,"Himalayan blackberry, willow"
48446,2023 Merced NWR - Cottonwood Trail P1,2023 Merced NWR - Cottonwood Trail,2023 Merced NWR - Cottonwood P1,P1,Sequential,Successful,inf,inf,inf,inf,2023-05-30,ND,ND,2023-05-12,2023-06-16,error,ND,34,37.1918,-120.602,"Buttonwillow, milk thistle"
48446,2023 Merced NWR - Cottonwood Trail P2,2023 Merced NWR - Cottonwood Trail,2023 Merced NWR - Cottonwood P2,P2,Sequential,Partially Abandoned,inf,~2023-05-15,~2023-05-27,~2023-06-04,ND,ND,2023-06-02,2023-05-12,2023-06-16,error,ND,34,37.1918,-120.602,"Buttonwillow, milk thistle"
48490,2023 Merced NWR - Deadman Wetland Ditch P1,2023 Merced NWR - Deadman Wetland Ditch,2023 Merced NWR Deadman Wetland Ditch P1,P1,Simple,Abandoned,inf,2023-05-19,2023-05-31,ND,ND,2023-06-04,ND,2023-05-23,2023-06-27,25,200,31,37.1853,-120.636,"Milk thistle, mustard"
48448,2023 North Regional Pond P1,2023 North Regional Pond,2023 North Regional Pond P1,P1,Simple,Successful,~2023-04-07,~2023-04-21,~2023-05-03,2023-05-15,2023-05-30,ND,ND,2023-03-31,2023-06-02,20,150,10,38.6639,-121.712,"Mustard, milk thistle"
48397,2023 Oregon State - Warm Springs Dizney Lane P1,2023 Oregon State - Warm Springs Dizney Lane,2023 OR Dizney Rd P1,P1,Simple,Partially Abandoned,inf,~2023-05-05,~2023-05-17,~2023-06-03,~2023-06-09,ND,2023-05-25,2023-04-29,2023-07-15,4,87,481,44.72275,-121.23785,"Cattails, Himalayan blackberry"
48392,2023 Oregon State - Metolius Eureka Lane P1,2023 Oregon State - Metolius Eureka Lane,2023 OR Eureka Rd P1,P1,Simple,Successful,missed,~2023-05-05,~2023-05-17,2023-05-29,2023-06-21,ND,ND,2023-04-29,2023-07-24,10,100,769,44.57821,-121.19382,"Cattails, Himalayan blackberry"
48445,2023 Oregon State - Prineville Grimes Rd P1,2023 Oregon State - Prineville Grimes Rd,2023 OR Prineville North P1,P1,Sequential,Successful,inf,2023-05-03,2023-05-15,2023-05-27,2023-06-13,ND,ND,2023-04-29,2023-07-15,5,62,888,44.36467,-120.91805,Cattails
48445,2023 Oregon State - Prineville Grimes Rd P2,2023 Oregon State - Prineville Grimes Rd,2023 OR Prineville North P2,P2,Sequential,Successful,2023-06-04,~2023-06-07,~2023-06-19,2023-07-06,2023-07-12,ND,ND,2023-04-29,2023-07-15,5,62,888,44.36467,-120.91805,Cattails
48796,2023 Panoche Creek Preserve - Corrals North West P1,2023 Panoche Creek Preserve - Corrals North West,2023 Panoche Creek Preserve - Corrals NW P1,P1,Simple,Successful,inf,inf,inf,2023-05-08,2023-05-14,ND,ND,2023-04-29,2023-06-12,5,450,318,36.5879,-120.767,"Fiddleneck, cheeseweed, London rocket, and Chilean chess"
48797,2023 Panoche Creek Preserve - Corrals Southeast P1,2023 Panoche Creek Preserve - Corrals Southeast,2023 Panoche Creek Preserve - Corrals SE P1,P1,Simple,Successful,inf,inf,inf,2023-05-07,2023-05-17,ND,ND,2023-04-29,2023-06-12,5,450,320,36.5875,-120.765,"Fiddleneck, cheeseweed, London rocket, and Chilean chess"
48440,2023 Petersen Ranch Pond - East,2023 Petersen Ranch Pond - East,2023 Peterson Ranch Pond - East,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2023-04-05,2023-07-28,50,No Colony,1030,34.6324,-118.318,Bulrush
48461,2023 Petersen Ranch Pond - West,2023 Petersen Ranch Pond - West,2023 Peterson Ranch Pond - West,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2023-04-05,2023-07-28,50,No Colony,1030,34.6331,-118.32,Bulrush
48475,2023 Plumas Arboga 2 P1,2023 Plumas Arboga 2,2023 Plumas Arboga 2 P1,P1,Simple,Successful,inf,2023-05-26,2023-06-07,2023-06-17,2023-07-01,ND,ND,2023-05-26,2023-07-08,3,7000,19,39.0338,-121.524,Himalayan blackberry
48437,2023 Plumas Arboga 8 P1,2023 Plumas Arboga 8,2023 Plumas Arboga 8 - North Regional Pond P1,P1,Sequential,Partially Abandoned,inf,~2023-04-22,~2023-05-04,2023-05-15,2023-05-24,ND,2023-05-06,2023-04-21,2023-07-08,3,4000,18,39.043,-121.531,Himalayan blackberry
48437,2023 Plumas Arboga 8 P2,2023 Plumas Arboga 8,2023 Plumas Arboga 8 - North Regional Pond P2,P2,Sequential,Successful,2023-05-27,2023-06-03,2023-06-15,~2023-06-30,ND,ND,ND,2023-04-21,2023-07-08,3,4000,18,39.043,-121.531,Himalayan blackberry
48764,2023 Rancho Jamul - North Pond P1,2023 Rancho Jamul - North Pond,2023 Rancho Jamul North Pond - fix lat lon P1,P1,Simple,Successful,2023-04-21,~2023-05-02,2023-05-14,2023-05-22,~2023-05-02,ND,ND,2023-03-27,2023-08-04,NEED,NEED,236,,,NEED
48765,2023 Rancho Jamul - Site 1 P1,2023 Rancho Jamul - Site 1,2023 Rancho Jamul Site 1 fix lat lon P1,P1,Sequential,Successful,2023-03-29,~2023-04-11,~2023-04-23,ND,ND,ND,ND,2023-03-27,2023-08-03,NEED,NEED,236,,,NEED
48765,2023 Rancho Jamul - Site 1 P2,2023 Rancho Jamul - Site 1,2023 Rancho Jamul Site 1 fix lat lon P2,P2,Sequential,Successful,2023-05-26,~2023-06-04,~2023-06-16,ND,ND,ND,ND,2023-03-27,2023-08-03,NEED,NEED,236,,,NEED
48447,2023 San Luis NWR - Tanager Slough P1,2023 San Luis NWR - Tanager Slough,2023 San Luis Bear Creek P1,P1,Simple,Partially Abandoned,inf,2023-06-23,2023-07-05,2023-07-15,2023-07-18,ND,2023-06-20,2023-06-16,2023-07-24,30,550,26,37.2393,-120.821,Willows
48464,2023 San Luis NWR - Fiddleneck Lake P1,2023 San Luis NWR - Fiddleneck Lake,2023 San Luis NWR - West Bank Creek P1,P1,Simple,Partially Abandoned,inf,2023-06-02,2023-06-14,ND,ND,ND,2023-06-05,2023-05-26,2023-07-12,75,500,24,37.2663,-120.834,"Milk thistle, mustard"
48466,2023 Sedgwick Reserve Pond P1,2023 Sedgwick Reserve Pond,2023 Sedgwick P1,P1,Asynchronous,Successful,inf,~2023-04-03,~2023-04-15,2023-04-29,2023-05-18,ND,ND,2023-03-26,2023-07-29,2,300,343,34.695,-120.042,Cattails
48478,2023 South Virginia Road 3,2023 South Virginia Road 3,2023 South Virginia Road 3,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2023-04-11,2023-06-06,No Colony,No Colony,22,39.0639,-121.48,"Himalayan blackberry, willows"
48456,2023 Virginia at Ostrom,2023 Virginia at Ostrom,2023 Virginia at Ostrom,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2023-04-18,2023-06-14,No Colony,No Colony,21,39.0769,-121.494,"Himalayan blackberry, cattails"
48398,2023 Washington State - Harder Spring P1,2023 Washington State - Harder Spring,2023 WA Harder Spring P1,P1,Sequential,Successful,missed,missed,missed,2023-06-16,2023-06-25,ND,ND,2023-04-10,2023-08-09,20,165,278,46.6573,-118.5,"Bulrush, cattails, common reed"
48398,2023 Washington State - Harder Spring P2,2023 Washington State - Harder Spring,2023 WA Harder Spring P2,P2,Sequential,Successful,missed,missed,missed,2023-07-27,~2023-08-03,ND,ND,2023-04-10,2023-08-09,20,165,278,46.6573,-118.5,"Bulrush, cattails, common reed"
48393,2023 Washington State - McCain Wetlands P1,2023 Washington State - McCain Wetlands,2023 WA McCain Wetlands P1,P1,Simple,Partially Abandoned,missed,~2023-04-28,~2023-05-10,~2023-05-24,2023-05-28(C),ND,2023-05-21,2023-04-10,2023-08-07,5,200,283,46.8515,-119.183,"Cattails, common reed"
48747,2023 Laguna Frye Confluence 1 P1,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P1,P1,Complex,Successful,inf,2023-05-12,2023-05-03,continuous,continuous,ND,ND,2023-04-19,2023-06-18,20,17500,30,38.4859,-121.276,"Himalayan blackberry, cattails"
48747,2023 Laguna Frye Confluence 1 P2,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P2,P2,Complex,Successful,2023-05-02,2023-05-12,2023-05-24,continuous,ND,ND,ND,2023-04-19,2023-06-18,20,17500,30,38.4859,-121.276,"Himalayan blackberry, cattails"
48747,2023 Laguna Frye Confluence 1 P3,2023 Laguna Frye Confluence 1,2023 Weagell Property 1 P3,P3,Complex,Successful,~2023-05-16,~2023-05-27,~2023-06-08,ND,ND,ND,ND,2023-04-19,2023-06-18,20,17500,30,38.4859,-121.276,"Himalayan blackberry, cattails"
48458,2023 Laguna Frye Confluence 2 P1,2023 Laguna Frye Confluence 2,2023 Weagell Property 2 P1,P1,Sequential,Successful,inf,~2023-05-05,~2023-05-17,2023-05-25,2023-06-07,ND,ND,2023-04-25,2023-06-18,20,17500,29,38.4859,-121.275,"Himalayan blackberry, cattails"
48458,2023 Laguna Frye Confluence 2 P2,2023 Laguna Frye Confluence 2,2023 Weagell Property 2 P2,P2,Sequential,Unknown,2023-06-02,2023-06-09,ND,ND,ND,ND,ND,2023-04-25,2023-06-18,20,17500,29,38.4859,-121.275,"Himalayan blackberry, cattails"
48439,2023 San Jacinto Wildlife Area West of Davis Road P1,2023 San Jacinto Wildlife Area West of Davis Road,2023 West of Davis P1,P1,Sequential,Successful,inf,inf,inf,inf,~2023-05-11,ND,ND,2023-05-06,2023-06-29,30,1000,434,33.8493,-117.129,Cattails
48439,2023 San Jacinto Wildlife Area West of Davis Road P2,2023 San Jacinto Wildlife Area West of Davis Road,2023 West of Davis P2,P2,Sequential,Successful,inf,~2023-05-08,~2023-05-20,2023-06-02,2023-06-06,ND,ND,2023-05-06,2023-06-29,30,1000,434,33.8493,-117.129,Cattails
48471,2023 Wind Wolves Preserve - Los Lobos P1,2023 Wind Wolves Preserve - Los Lobos,2023 Wind Wolves Preserve site 1 P1,P1,Asynchronous,Successful,missed,~2023-04-21,~2023-05-03,2023-05-17,2023-06-01,ND,ND,2023-04-07,2023-07-25,2,100,793,34.949,-119.215,Stinging nettle
48469,2023 Wind Wolves Preserve - Santiago Wetlands P1,2023 Wind Wolves Preserve - Santiago Wetlands,2023 Wind Wolves Preserve Site 2 P1,P1,Asynchronous,Successful,inf,~2023-04-17,~2023-04-29,2023-05-09,2023-06-12,ND,ND,2023-04-07,2023-07-25,30,300,901,34.9395,-119.2967,"Cattails, Stinging nettle"
65444,2024 Baja Lago Mesa Redonda P1,2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda P1,P1,Asynchronous,Successful,inf,inf,inf,inf,continuous,ND,ND,2024-05-02,2024-08-04,5,150,503,32.373,-116.879,Cattails
65444,2024 Baja Lago Mesa Redonda P2,2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda P2,P2,Asynchronous,Successful,inf,2024-05-10,2024-05-22,continuous,2024-07-08,ND,ND,2024-05-02,2024-08-04,5,150,503,32.373,-116.879,Cattails
65446,2024 Baja Ciénega Redonda North P1,2024 Baja Ciénega Redonda North,2024 Baja Rancho Cinega Redonda 1 P1,P1,Complex,Successful,inf,inf,inf,2024-05-06,continuous,ND,ND,2024-04-23,2024-08-19,2,350,972,32.538,-116.318,Cattails
65446,2024 Baja Ciénega Redonda North P2,2024 Baja Ciénega Redonda North,2024 Baja Rancho Cinega Redonda 1 P2,P2,Complex,Successful,inf,~2024-05-11,~2024-05-23,continuous,2024-06-22,ND,ND,2024-04-23,2024-08-19,2,350,972,32.538,-116.318,Cattails
65447,2024 Baja Ciénega Redonda South P1,2024 Baja Ciénega Redonda South,2024 Baja Rancho Cinega Redonda 2 P1,P1,Sequential,Successful,inf,2024-04-17,2024-04-29,2024-05-10,2024-06-04,ND,ND,2024-04-23,2024-08-01,3,100,969,32.532,-116.318,Cattails
65447,2024 Baja Ciénega Redonda South P2,2024 Baja Ciénega Redonda South,2024 Baja Rancho Cinega Redonda 2 P2,P2,Sequential,Successful,2024-05-12,2024-05-23,2024-06-04,2024-06-12,2024-06-30,ND,ND,2024-04-23,2024-08-01,3,100,969,32.532,-116.318,Cattails
65453,2024 Colusa NWR T27-1&2 P1,2024 Colusa NWR T27-1&2,2024 Colusa NWR T27.1 P1,P1,Simple,Partially Abandoned,2024-05-25,2024-06-01,2024-06-13,ND,ND,ND,2024-06-19,2024-04-24,2024-09-03,100,17500,14,39.141,-122.028,"Bulrush, cattails"
65454,2024 Colusa NWR T27-2S,2024 Colusa NWR T27-2S,2024 Colusa NWR T27.2,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2024-04-24,2024-08-04,5,No Colony,14,39.1375,-122.028,"Bulrush, cattails"
63115,2024 Dagnino Pond P1,2024 Dagnino Pond,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,P1,Simple,Successful,inf,2024-05-19,2024-05-31,2024-06-09,2024-06-24,ND,ND,2024-05-21,2024-08-15,30,400,182,37.7463,-121.743,"Bulrush, cattails, Mustard"
65456,2024 Kern 1,2024 Kern 1,2024 Kern 1 - check lat lon,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2024-04-08,2024-08-12,NEED,NEED,804,35.67,-118.307,NEED
63044,2024 Los Vaqueros Playa P1,2024 Los Vaqueros Playa,2024 Los Vaqueros Reservoir P1,P1,Sequential,Partially Abandoned,inf,~2024-04-21,~2024-05-03,ND,ND,ND,2024-04-26,2024-03-15,2024-06-24,0,500,82,37.8377,-121.696,Himalayan blackberry
63044,2024 Los Vaqueros Playa P2,2024 Los Vaqueros Playa,2024 Los Vaqueros Reservoir P2,P2,Sequential,Successful,2024-05-17,2024-05-28,2024-06-09,2024-06-20,ND,ND,ND,2024-03-15,2024-06-24,0,500,82,37.8377,-121.696,Himalayan blackberry
63085,2024 Markham Ravine 1,2024 Markham Ravine 1,2024 Markham Ravine 1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2024-05-07,2024-05-24,No Colony,No Colony,19,38.8897,-121.459,"Himalayan blackberry, willow"
63088,2024 Markham Ravine 2,2024 Markham Ravine 2,2024 Markham Ravine 2,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2024-05-07,2024-05-24,No Colony,No Colony,18,38.8898,-121.462,"Himalayan blackberry, willow"
63113,2024 Markham Ravine 3,2024 Markham Ravine 3,2024 Markham Ravine 3,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2024-05-07,2024-05-24,No Colony,No Colony,18,38.8897,-121.465,"Himalayan blackberry, willow"
63114,2024 Merced NWR - Duck Slough Farmfield P1,2024 Merced NWR - Duck Slough Farmfield,2024 Merced NWR - Cottonwood Trail P1,P1,Unknown,Successful,inf,inf,missed,2024-05-17,2024-06-07,ND,ND,2024-04-25,2024-07-12,15,5000,34,37.1989,-120.599,"Milk thistle, mustard"
63087,2024 Moore's Lake P1,2024 Moore's Lake,2024 Moore Lake - confirm lat lon P1,P1,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2024-04-10,2024-07-01,No Colony,No Colony,411,36.4589,-121.799,Cattails
66012,2024 Newberry Springs  - Croydon Avenue P1,2024 Newberry Springs  - Croydon Avenue,2024 Newberry Springs P1,P1,Unknown,Successful,inf,inf,inf,inf,ND,ND,ND,2024-05-27,2024-06-02,35,150,555,34.8883,-116.6485,"Cattails, willows"
77023,2024 North Regional Pond,2024 North Regional Pond,2024 North Regional Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND,2024-04-16,2024-06-02,20,6000,10,38.664,-121.712,"Mustard, milk thistle"
63049,2024 Santa Lucia Preserve - Ohlone Pond P1,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P1,P1,Complex,Successful,inf,2024-04-20,2024-05-02,2024-05-18,2024-05-23,ND,ND,2024-04-10,2024-07-01,3,250,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
63049,2024 Santa Lucia Preserve - Ohlone Pond P2,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P2,P2,Complex,Successful,ND,2024-05-12,2024-05-24,ND,2024-06-13,ND,ND,2024-04-10,2024-07-01,3,250,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
63049,2024 Santa Lucia Preserve - Ohlone Pond P3,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P3,P3,Complex,Successful,ND,2024-06-05,2024-06-17,ND,inf,ND,ND,2024-04-10,2024-07-01,3,250,318,36.4692,-121.7937,Bulrush (Schoenoplectus spp.)
63086,2024 Oregon State -  Metolius Eureka Lane,2024 Oregon State -  Metolius Eureka Lane,2024 OR Eureka Lane,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND,2024-05-04,2024-07-14,10,87,769,44.57821,-121.19382,"Cattails, Himalayan blackberry"
