id,site,old_site,pulse,breeding_type,outcome,settlement_start,incubation_onset,brooding_onset,fledging_onset,fledgling_dispersal,abandon_date,partial_abandon_date
48469,2023 Wind Wolves Preserve - Santiago Wetlands,2023 Wind Wolves Preserve Site 2 P1,P1,Asynchronous,Successful,inf,~2023-04-17,~2023-04-29,2023-05-09,2023-06-12,ND,ND
65444,2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda P1,P1,Asynchronous,Successful,inf,inf,inf,inf,continuous,ND,ND
65444,2024 Baja Lago Mesa Redonda,2024 Baja Lago Mesa Redonda P2,P2,Asynchronous,Successful,inf,2024-05-10,2024-05-22,continuous,2024-07-08,ND,ND
65446,2024 Baja Ciénega Redonda North,2024 Baja Rancho Cinega Redonda 1 P1,P1,Complex,Successful,inf,inf,inf,2024-05-06,continuous,ND,ND
65446,2024 Baja Ciénega Redonda North,2024 Baja Rancho Cinega Redonda 1 P2,P2,Complex,Successful,inf,~2024-05-11,~2024-05-23,continuous,2024-06-22,ND,ND
65447,2024 Baja Ciénega Redonda South,2024 Baja Rancho Cinega Redonda 2 P1,P1,Sequential,Successful,inf,2024-04-17,2024-04-29,2024-05-10,2024-06-04,ND,ND
65447,2024 Baja Ciénega Redonda South,2024 Baja Rancho Cinega Redonda 2 P2,P2,Sequential,Successful,2024-05-12,2024-05-23,2024-06-04,2024-06-12,2024-06-30,ND,ND
65453,2024 Colusa NWR T27-1&2,2024 Colusa NWR T27.1 P1,P1,Simple,Partially Abandoned,2024-05-25,2024-06-01,2024-06-13,ND,ND,ND,2024-06-19
65454,2024 Colusa NWR T27-2S,2024 Colusa NWR T27.2,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
63115,2024 Dagnino Pond,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area P1,P1,Simple,Successful,inf,2024-05-19,2024-05-31,2024-06-09,2024-06-24,ND,ND
65456,2024 Kern 1,2024 Kern 1 - check lat lon,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
63044,2024 Los Vaqueros Playa,2024 Los Vaqueros Reservoir P1,P1,Sequential,Partially Abandoned,inf,~2024-04-21,~2024-05-03,ND,ND,ND,2024-04-26
63044,2024 Los Vaqueros Playa,2024 Los Vaqueros Reservoir P2,P2,Sequential,Successful,2024-05-17,2024-05-28,2024-06-09,2024-06-20,ND,ND,ND
63085,2024 Markham Ravine 1,2024 Markham Ravine 1,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
63088,2024 Markham Ravine 2,2024 Markham Ravine 2,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
63113,2024 Markham Ravine 3,2024 Markham Ravine 3,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
63114,2024 Merced NWR - Duck Slough Farmfield,2024 Merced NWR - Cottonwood Trail P1,P1,Unknown,Successful,inf,inf,missed,2024-05-17,2024-06-07,ND,ND
63087,2024 Moore's Lake,2024 Moore Lake - confirm lat lon P1,P1,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
66012,2024 Newberry Springs  - Croydon Avenue,2024 Newberry Springs P1,P1,Unknown,Successful,inf,inf,inf,inf,ND,ND,ND
77023,2024 North Regional Pond,2024 North Regional Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
63049,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P1,P1,Complex,Successful,inf,2024-04-20,2024-05-02,2024-05-18,2024-05-23,ND,ND
63049,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P2,P2,Complex,Successful,ND,2024-05-12,2024-05-24,ND,2024-06-13,ND,ND
63049,2024 Santa Lucia Preserve - Ohlone Pond,2024 Ohlone - Santa Lucia Preserve P3,P3,Complex,Successful,ND,2024-06-05,2024-06-17,ND,inf,ND,ND
63086,2024 Oregon State -  Metolius Eureka Lane,2024 OR Eureka Lane,,No TRBL,No TRBL,ND,ND,ND,ND,ND,ND,ND
65471,2024 Panoche Creek Marsh East,2024 Panoche Creek Preserve - Dollar Marsh East P1,P1,Simple,Successful,inf,2024-04-17,2024-04-29,2024-05-09,2024-06-11,ND,ND
65471,2024 Panoche Creek Marsh East,2024 Panoche Creek Preserve - Dollar Marsh East P2,P2,Simple,Unknown,ND,~2024-05-27,~2024-06-08,ND,ND,ND,ND
65469,2024 Panoche Creek Marsh South,2024 Panoche Creek Preserve - Dollar Marsh South P1,P1,Simple,Successful,inf,2024-04-19,2024-05-01,2024-05-18,2024-06-03,ND,ND
65470,2024 Panoche Creek Marsh West,2024 Panoche Creek Preserve - Dollar Marsh West P1,P1,Simple,Successful,inf,2024-04-23,2024-05-05,2024-05-14,2024-05-27,ND,ND
63656,2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 P1,P1,Complex,Unknown,inf,2024-04-13,2024-04-25(E),ND,ND,ND,ND
63656,2024 Rancho Jamul - Main Pond 1,2024 Rancho Jamul - Main Pond 1 P2,P2,Complex,Successful,2024-05-01,2024-05-15,2024-05-28(E),2024-06-09,2024-07-23,ND,ND
63657,2024 Rancho Jamul - Main Pond 2,2024 Rancho Jamul - Main Pond 2 P1,P1,Complex,Successful,inf,2024-04-13,2024-04-25(E),ND,ND,ND,ND
63657,2024 Rancho Jamul - Main Pond 2,2024 Rancho Jamul - Main Pond 2 P2,P2,Complex,Successful,2024-04-27,~2024-05-12,~2024-05-24,2024-06-09,ND,ND,ND
63468,2024 Rancho Jamul - North Pond,2024 Rancho Jamul - North Pond,,No Colony,No Colony,ND,ND,ND,ND,ND,ND,ND
63738,2024 Sedgwick Reserve Pond,2024 Sedgwick P1,P1,Asynchronous,Successful,inf,~2024-04-06,~2024-04-18,~2024-05-03,2024-06-10,ND,ND
63089,2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond,2024 SJWA Thistle NW of Bridge Street Pond P1,P1,Simple,Successful,inf,inf,inf,ND,ND,ND,ND
63116,2024 Washington State - Harder Spring,2024 WA Harder Spring P1,P1,Sequential,Successful,missed,2024-05-26,2024-06-07,2024-06-25,2024-07-04,ND,ND
63116,2024 Washington State - Harder Spring,2024 WA Harder Spring P2,P2,Sequential,Successful,missed,~2024-07-04,~2024-07-16,2024-07-27,ND,ND,ND
63465,2024 Washington State - McCain Wetlands,2024 WA McCain Pond P1,P1,Simple,Partially Abandoned,missed,~2024-04-20,~2024-05-02,~2024-05-15,~2024-06-03,ND,2024-05-15
65481,2024 Wind Wolves Preserve - Los Lobos,2024 Wind Wolves Preserve - Los Lobos P1,P1,Complex,Successful,inf,inf,inf,2024-05-11,2024-05-14,ND,ND
65481,2024 Wind Wolves Preserve - Los Lobos,2024 Wind Wolves Preserve - Los Lobos P2,P2,Complex,Successful,inf,~2024-05-08,~2024-05-21(E),2024-06-02,2024-06-14,ND,ND
65482,2024 Wind Wolves Preserve - Pleitito Creek,2024 Wind Wolves Preserve - Pleitito P1,P1,Complex,Successful,inf,inf,2024-04-16(E),2024-04-28,ND,ND,ND
65482,2024 Wind Wolves Preserve - Pleitito Creek,2024 Wind Wolves Preserve - Pleitito P2,P2,Complex,Successful,missed,2024-05-13,2024-05-25,2024-06-03,2024-06-17,ND,ND
65483,2024 Wind Wolves Preserve - Santiago Wetlands,2024 Wind Wolves Preserve - Santiago P1,P1,Asynchronous,Successful,inf,inf,inf,2024-05-03,2024-07-02,ND,ND
65480,2024 Wind Wolves Preserve - Tevis,2024 Wind Wolves Preserve - Tevis P1,P1,Simple,Successful,inf,2024-04-21,2024-05-03,2024-05-17,2024-06-08,ND,ND
